Number;Group;;;
1;17;;;
2;19;;;
3;20;;;
4;22;;;
5;24;;;
6;1;;;
7;2;;;
8;3;;;
9;4;;;
10;5;;;
11;7;;;
12;8;;;
13;9;;;
14;10;;;
15;11;;;
16;12;;;
17;14;;;
18;15;;;
19;16;;;
20;18;;;
21;21;;;
22;23;;;
23;6;;;
24;13;;;
